province,municipality,municipality_code,total_registered_vehicles,estimated_diesel_trucks,annual_demand_base_l,demand_share,observed_station_count,observed_station_count_with_stock,observed_inventory_l,avg_price_krw_per_l,municipality_priority_score,daily_demand_base_l,target_safety_stock_3days_l,inventory_cover_days,safety_stock_gap_l,demand_rank_score,supply_availability_score
Gyeonggi-do,Hwaseongsi,31240,81810,74024.62589803727,7117420.180883577,0.0606814861898363,1,26,33618.0,1723.076923076923,61.71294295592049,19499.78131748925,58499.34395246775,1.7240193339936687,24881.343952467752,0.4253268886687771,77.01307554675108
Gyeonggi-do,Suwonsijangangu,31011,68056,61269.496284540335,6216676.585327191,0.0530019536253344,2,3,3530.0,1800.0,62.52340823970038,17031.99064473203,51095.971934196095,0.2072570419765832,47565.971934196095,0.9309143193411388,89.34947162632352
Gyeonggi-do,Yonginsicheoingu,31191,61194,55050.13639433689,5915542.245638894,0.0504345515596027,3,13,20811.0,1807.692307692308,66.98357821953329,16206.965056544916,48620.89516963475,1.2840775510647393,27809.89516963475,0.571974149645087,72.3550689647494
Gyeonggi-do,Ansansisangnokgu,31091,60791,54955.20655663668,5445137.00113927,0.0464239847218602,4,4,5139.0,1925.0,65.53721910112361,14918.183564765124,44754.55069429537,0.3444789359032739,39615.55069429537,0.8851736880322421,80.76408283629397
Gyeonggi-do,Goyangsideogyanggu,31101,60679,54855.08205067747,5326102.202384882,0.0454091214268528,5,3,1580.0,1700.0,74.96722846441948,14592.060828451731,43776.1824853552,0.1082780574022349,42196.1824853552,0.963907314199255,82.8711340465725
Gyeonggi-do,Namyangju-si,31130,59194,53706.481844601694,5123681.945029195,0.043683332905295,6,3,3324.0,2000.0,69.90636704119851,14037.484780901905,42112.454342705714,0.2367945577061159,38788.454342705714,0.921068480764628,79.3851461874131
Gyeonggi-do,Pyeongtaek-si,31070,53027,47863.26644428248,5008749.818847869,0.0427034480523012,7,18,23325.0,1677.7777777777778,64.11048689138578,13722.602243418818,41167.80673025645,1.6997504982108165,17842.806730256452,0.4334165005963946,58.8726970117594
Gyeonggi-do,Bucheon-si,31050,52209,47248.62543634947,4657658.41046066,0.0397101235178525,8,1,3322.0,2000.0,50.71629213483146,12760.707973864824,38282.12392159447,0.2603303834555089,34960.123921594466,0.9132232055148304,74.9907346909929
Gyeonggi-do,Siheung-si,31150,50741,46125.91089292435,4517624.595698101,0.0385162274458674,9,3,1598.0,1766.6666666666667,71.98970037453184,12377.053686844114,37131.16106053234,0.1291098867655842,35533.161060532344,0.9569633710781386,75.51417565825301
Gyeonggi-do,Paju-si,31200,43855,39424.31437177282,4177174.437371632,0.0356136277600568,10,3,5854.0,1833.3333333333333,62.24250936329589,11444.313527045568,34332.9405811367,0.5115204145854305,28478.940581136703,0.8294931951381899,67.43431513596828
Gyeonggi-do,Gwangju,31250,43588,39203.58573862559,4101064.2780917534,0.0349647300609083,11,13,14698.0,1838.4615384615383,67.94835782195334,11235.792542717132,33707.3776281514,1.3081409205554455,19009.3776281514,0.5639530264815182,56.14627176163034
Gyeonggi-do,Gimpo-si,31230,42261,38238.09793428096,3819586.7361002215,0.0325649173277801,12,2,2274.0,2350.0,76.34831460674158,10464.621194795129,31393.86358438538,0.2173036135441804,29119.86358438538,0.9275654621519398,68.22609238659274
Gyeonggi-do,Seongnamsisujeonggu,31021,41108,36952.11121670588,3814290.118463592,0.0325197595849742,13,1,6.0,2200.0,86.96629213483146,10450.109913598882,31350.32974079665,0.0005741566404188,31344.32974079665,0.9998086144531936,71.06944017604395
Incheon,Seo-gu,23080,46284,40839.69169339799,3712862.971511901,0.0316550150763453,14,6,8193.0,1483.3333333333333,49.12219101123596,10172.227319210688,30516.681957632063,0.8054283238959051,22323.681957632063,0.7315238920346983,59.44993376057989
Incheon,Namdong-gu,23050,41901,37286.825403948525,3236635.842341981,0.0275948121899727,15,6,5474.0,1983.3333333333333,60.03511235955057,8867.495458471181,26602.486375413544,0.6173107193159765,21128.486375413544,0.7942297602280078,57.78822317269574
Gyeonggi-do,Anyangsimanangu,31041,31321,28101.54983181817,3128446.5804011323,0.0266724154454352,16,1,1610.0,2400.0,60.47752808988764,8571.086521646937,25713.25956494081,0.187840829273374,24103.25956494081,0.9373863902422086,62.56716034762899
