station_public_id,province,inventory_l,price_krw_per_l,latitude,longitude,stock_status_color,observed_at,regional_demand_base_l,station_inventory_score,station_price_pressure_score,station_supply_priority_score,station_priority_rank,municipality_supply_availability_score,final_priority_score,final_priority_rank
STN-001,Gyeonggi-do,1600,50,37.2305945,126.9695872,RED,2021-12-28 11:58:49,96533521.76011252,0.949438202247191,0.4073033707865168,78.59550561797754,12,0.8934947162632352,81.67634375160368,1
STN-002,Gyeonggi-do,1000,0,37.2490803,126.8942783,GRAY,2021-12-28 14:19:58,96533521.76011252,0.9803370786516854,0.0084269662921348,73.38483146067416,46,0.7701307554675109,80.40261510935021,2
STN-003,Gyeonggi-do,1500,0,37.1406237,127.2056,GRAY,2021-12-28 14:12:48,96533521.76011252,0.9803370786516854,0.2808988764044944,77.47191011235955,17,0.723550689647494,77.95906528242284,3
STN-004,Gyeonggi-do,2000,110,37.2244906,127.2100577,RED,2021-12-28 11:28:42,96533521.76011252,0.9353932584269664,0.7134831460674157,82.8370786516854,3,0.723550689647494,77.85906528242283,4
STN-005,Gyeonggi-do,2000,110,37.2954752,126.9367604,RED,2021-12-28 14:17:25,96533521.76011252,0.9353932584269664,0.7134831460674157,82.8370786516854,3,0.8076408283629397,77.48138422476094,5
STN-006,Gyeonggi-do,2000,0,37.4318886,126.8102154,GRAY,2021-12-28 11:17:42,96533521.76011252,0.9803370786516854,0.7134831460674157,83.96067415730337,2,0.7551417565825301,76.22065553921432,6
STN-007,Gyeonggi-do,1300,0,37.6041255,126.8220016,GRAY,2021-12-28 12:28:43,96533521.76011252,0.9803370786516854,0.0926966292134831,74.64887640449439,39,0.8287113404657249,75.98164754861564,7
STN-008,Gyeonggi-do,1300,200,37.1436086,126.8791024,YELLOW,2021-12-28 13:45:19,96533521.76011252,0.9129213483146068,0.0926966292134831,72.96348314606743,50,0.7701307554675109,75.65261510935021,8
STN-009,Gyeonggi-do,2200,6,37.4428095,127.1276032,RED,2021-12-28 10:36:36,96533521.76011252,0.9606741573033708,0.946629213483146,86.96629213483146,1,0.7106944017604395,73.54243583416688,9
STN-010,Gyeonggi-do,1300,100,37.151439,127.3858134,RED,2021-12-28 12:26:54,96533521.76011252,0.9438202247191012,0.0926966292134831,73.73595505617979,43,0.723550689647494,72.95906528242284,10
STN-011,Gyeonggi-do,1500,181,37.1850402,127.2039845,RED,2021-12-28 10:17:39,96533521.76011252,0.9213483146067416,0.2808988764044944,75.99719101123597,26,0.723550689647494,71.62406528242283,11
STN-012,Gyeonggi-do,1500,400,37.188255,126.6837312,YELLOW,2021-12-28 10:04:23,96533521.76011252,0.8567415730337079,0.2808988764044944,74.38202247191012,40,0.7701307554675109,70.15261510935021,12
STN-013,Gyeonggi-do,2000,370,37.1735875,127.3475208,YELLOW,2021-12-28 11:03:51,96533521.76011252,0.8707865168539326,0.7134831460674157,81.22191011235955,5,0.723550689647494,68.75906528242284,13
STN-014,Gyeonggi-do,1200,400,37.2110356,126.7518156,YELLOW,2021-12-28 08:26:19,96533521.76011252,0.8567415730337079,0.0365168539325842,70.71629213483146,62,0.7701307554675109,67.90261510935022,14
STN-015,Gyeonggi-do,2000,445,37.2253429,127.0792174,YELLOW,2021-12-28 08:18:48,96533521.76011252,0.8426966292134832,0.7134831460674157,80.51966292134833,7,0.723550689647494,66.13406528242284,15
STN-016,Gyeonggi-do,1500,268,37.370004,126.8739786,YELLOW,2021-12-28 12:54:46,96533521.76011252,0.904494382022472,0.2808988764044944,75.57584269662922,33,0.7551417565825301,63.090655539214325,16
